Angle_deg,Voltage_V,Signal_V,Power
0,1.59399267399267,0.153992673992674,0.153992673992674
0.133580705009276,1.55531135531136,0.115311355311355,0.151091575091575
0.267161410018553,1.5956043956044,0.155604395604396,0.151430036630037
0.400742115027829,1.58029304029304,0.14029304029304,0.150594761904762
0.534322820037106,1.56901098901099,0.129010989010989,0.148975978937729
0.667903525046382,1.53032967032967,0.0903296703296703,0.144577505792125
0.801484230055659,1.53274725274725,0.0927472527472526,0.140690236813759
0.935064935064935,1.51340659340659,0.0734065934065933,0.135643963558222
1.06864564007421,1.58029304029304,0.14029304029304,0.135992644313333
1.20222634508349,1.54161172161172,0.101611721611722,0.133414075110712
1.33580705009276,1.56659340659341,0.126593406593407,0.132902524971914
1.46938775510204,1.5359706959707,0.0959706959706959,0.130132637796823
1.60296846011132,1.53032967032967,0.0903296703296703,0.127147415236787
1.73654916512059,1.58593406593407,0.145934065934066,0.128556414039083
1.87012987012987,1.49084249084249,0.0508424908424909,0.122727869799338
2.00371057513915,1.50615384615385,0.0661538461538462,0.118484818025926
2.13729128014842,1.54805860805861,0.108058608058608,0.117702852278377
2.2708719851577,1.54080586080586,0.100805860805861,0.116435577917939
2.40445269016698,1.53355311355311,0.0935531135531136,0.114719393090577
2.53803339517625,1.51179487179487,0.0717948717948718,0.111500053993399
2.67161410018553,1.56014652014652,0.12014652014652,0.112148538954883
2.80519480519481,1.54886446886447,0.108864468864469,0.111902233698102
2.93877551020408,1.55934065934066,0.119340659340659,0.112460115621294
3.07235621521336,1.56095238095238,0.120952380952381,0.113097035521125
3.20593692022263,1.5174358974359,0.0774358974358973,0.110422450164733
3.33951762523191,1.53355311355311,0.0935531135531136,0.109157249918862
3.47309833024119,1.54967032967033,0.10967032967033,0.109195730900222
3.60667903525046,1.55531135531136,0.115311355311355,0.109654402731057
3.74025974025974,1.55611721611722,0.116117216117216,0.110139113735019
3.87384044526902,1.51824175824176,0.0782417582417583,0.107746812073024
4.00742115027829,1.54161172161172,0.101611721611722,0.107286680288427
4.14100185528757,1.55128205128205,0.111282051282051,0.107586333112948
4.27458256029685,1.54886446886447,0.108864468864469,0.107682193294312
4.40816326530612,1.52871794871795,0.0887179487179486,0.106259874951085
